unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 
KM,AT	1633 	1645 	1645 	1670 	1677 	1677 	1678 	1696 	1696 	1696 	1719 	: 
KM,BE	1702 	1727 	1729 	1729 	1747 	1747 	1763 	1763 	1763 	1763 	1763 	: 
KM,BG	324 	328 	328 	328 	331 	331 	394 	418 	418 	418 	437 	458 
KM,CH	1270 r	1305 	1342 	1351 	1341 	1358 	1361 	1383 	1383 	1406 	1406 	1415 
KM,CY	240 	257 	268 	268 	268 	276 	257 	257 	257 	257 	257 	257 
KM,CZ	499.4 	517.6 	517.7 	518 r	546 r	564 r	633 	657 	691 	729 	734 	: 
KM,DE	11712 	11786 	12037 	12044 	12174 	12363 	12531 	12594 	12645 	12813 	12819 	12845 
KM,DK	953 	971 	1010 	: 	: 	: 	1071 	1111 	1128 	: 	: 	: 
KM,EE	93 	93 	98 	98 	96 	99 	99 	96 	104 	100 	115 	115 
KM,ES	9049 	9571 	9739 	10296 	10747 r	11432 	12073 	13013 	13518 	13506 	14262 	14554 
KM,FI	549 	591 	603 	653 	653 	693 	700 	700 	739 	765 	779 	790 
KM,FR	9766 	10068 	10223 	10379 	10486 	10800 	10848 	10958 	11042 	11163 	11392 	: 
KM,HR	411 	429 	455 	554 	742 	792 	877 	959 	1043 	1097 	1126 	: 
KM,HU	448 	448 	533 	542 	569 	636 	785 	858 	1273.7 	1273 	: 	: 
KM,IE	103 	125 	125 	176 	192 	247 	: 	269 	423 	663 	: 	: 
KM,IS	: 	: 	: 	: 	0 e	11 e	: 	: 	: 	: 	: 	: 
KM,IT	6478 	6478 	6487 	6487 	6532 	6542 	6554 	6588 	6629 	6661 	6668 	: 
KM,LI	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 
KM,LT	417 	417 	417.1 	417 	417 	417 	309 	309 	309 	309 	309 	309 
KM,LU	114 	115 	126 	147 	146 	147 r	147 	147 	147 	152 	: 	: 
KM,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
KM,MK	144 	145 	208 	: 	: 	216 	216 	221 	237 	251 	: 	: 
KM,NL	2265 	2499 b	2516 r	2542 r	2585 r	2600 r	2604 r	2582 r	2637 r	2631 	: 	: 
KM,NO	144 	143 	173 	: 	193 	264 r	271 	239 	253 	344 	381 	393 
KM,PL	358 	398 	405 	405 	552 	552 	663 	663 	765 	849 	857 	1070 
KM,PT	1482 	1659 	1835 	: 	: 	: 	2545 	2613 	2673 	2705 	2737 	2737 
KM,RO	113 	113 	113 	113 	228 	228 	228 	281 	281 	321 	332 	350 
KM,SE	1499 	1507 	1544 	1591 	1684 	1677 	1744 	1806 r	1855 	1891 	: 	: 
KM,SI	427 	435 	456 r	477 	483 	569 	579 	579 	696 	747 p	771 p	768 p
KM,SK	295.7 	296.4 	301.6 	312.8 	316.2 	327.5 	327.5 	364.5 	384 	391 	415.7 	419.2 
KM,TR	1674 r	1696 r	1714 r	1753 	1662 	1667 	1908 	1908 	1922 	2036 	: 	: 
KM,UK	3600 r	3610 r	3611 r	3611 r	3657 	3629 	3665 r	3669 	3673 r	3673.9 	3673 	3685.7 
