Villain,Year first,Year last,Doc. no.,Doctor actor,Epi- sodes,"Stories, total","Motivation (invasion earth, end of universe, etc)",Story titles
Abzorbaloff (Victor Kennedy),2006,2006,10,David Tennant,1,1,Kill humans,Love and Monsters
Adherents of the Repeated Meme,2005,2005,9,Christopher Eccleston,1,1,Serve big bad,The End of the World
Adipose Industries ,2008,2008,10,David Tennant,1,1,Control the World,Partners in Crime
"Adrasta, Lady",1979,1979,4,Tom Baker,4,1,Mineral wealth,The Creature from the Pit
Alaya,2010,2010,11,Matt Smith,2,1,Capture humans,The Hungry Earth/Cold Blood
"Alliance - onscreen - Daleks, Cybermen, Sontarans & Autons, (cameos Silurians, Sycorax, Judoon, Hoix, Roboforms, microcameos Blowfish, Uvodni, Weevils)",2010,2010,11,Matt Smith,1,1,Imprison the Doctor,The Pandorica Opens
Alliance of Shades (Mister Dread),2009,2009,10,David Tennant,9,1,Hide alien activities,Dreamland
Angel Bob,2010,2010,11,Matt Smith,2,1,Kill humans,The Time of Angels/Flesh and Stone
Angelo,2006,2006,10,David Tennant ,1,1,Create new empire,Tooth and Claw
Animus,1965,1965,1,William Hartnell,6,1,Control Humans,The Web Planet
Anti-matter monster,1975,1975,4,Tom Baker,4,1,Energy,Planet of Evil
Anti-Matter Organism ,1972,1973,"1,2,3","William Hartnell, Patrick Troughton, Jon Pertwee",4,1,Serve big bad,The Three Doctors
Arcturus,1972,1972,3,Jon Pertwee,4,1,Control of planet,The Curse of Peladon
Aridians,1965,1965,1,William Hartnell,6,1,Self interest,The Chase
Association (the),1988,1988,7,Sylvester McCoy,4,1,Fascist stooge,Rememberance of the Daleks
Atraxi,2010,2010,11,Matt Smith,2,2,World domination,"The Eleventh Hour, The Pandorica Opens"
Aukon (one of Three who rule),1980,1980,4,Tom Baker,4,1,"Drink blood, control humans",State of Decay
Automated Corpse,2005,2005,9,Christopher Eccleston,1,1,Serve big bad,The Long Game
"Autons (Marcellas, Commander and Claudio)",1970,2010,"3,9,11","Jon Pertwee, Christopher Eccleston, Matt Smith",11,4,Defeat the Doctor,"Terror of the Autons, Spearhead from Space, Rose, The Pandorica Opens/The Big Bang, Love & Monsters"
Axons,1971,1971,3,Jon Pertwee,4,1,Earth invasion/Human extermination,The Claws of Axos
Aydan,1964,1964,1,William Hartnell,6,1,Save alien planet,The Keys of Marinus
Azal,1971,1971,3,Jon Pertwee,5,1,Kill humans,The Dæmons
Azaxyr,1974,1974,3,Jon Pertwee,6,1,Power,The Monster of Peladon
Azlok,2009,2009,10,David Tennant,7,1,Invading Earth,Dreamland
Baltazar,2007,2007,10,David Tennant,13,1,Kill life on earth/make money,The Infinite Quest 
Bannermen,1987,1987,7,Sylvester McCoy,3,1,World domination,Delta and the Bannermen
Beast (the),2006,2006,10,David Tennant,2,1,Satan Figure,The Impossible Planet/The Satan Pit
Benik,1967,1968,2,Patrick Troughton,6,1,Serve Big Bad,The Enemy of the World
Bennett (Koquillion),1965,1965,1,William Hartnell,2,1,Kill humans,The Rescue
Black Guardian (the),1978,1979,"4,5","Tom Baker, Peter Davison",18,5,Wants evil,"The Key to Time, Terminus, Mawdryn Undead, Enlightenment, Armageddon factor"
Bloodtide,2007,2007,10,David Tennant,1,1,Serve big bad,The Shakespeare Code
Blowfish,2010,2010,11,Matt Smith,1,1,Imprison the Doctor,The Pandorica Opens (see Alliance above)
Bok,1971,1971,3,Jon Pertwee,5,1,Assist Azal,The Dæmons
Borad,1985,1985,6,Colin Baker,2,1,Kill humans,Timelash
Borusa,1976,1983,"1, 2, 3, 4, 5","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison",15,4,Wants immortality,"The Deadly Assassin, The Invasion of Time, Arc of Infinity, The Five Doctors"
BOSS,1973,1973,3,Jon Pertwee,6,1,Brainwashing,The Green Death
Bragen,1966,1966,2,Patrick Troughton,6,1,Serve big bad,The Power of the Daleks
"Brethren (the), inc Father Angelo",2006,2006,10,David Tennant,1,1,Serve big bad,Tooth and Claw
Broton,1975,1975,4,Tom Baker ,4,1,Power,Terror of the Zygons
"Calvierri, Signora Rosanna",2010,2010,11,Matt Smith,1,1,reproduce,The Vampires of Venice
Camilla (one of Three who rule),1980,1980,4,Tom Baker,4,1,"Drink blood, control humans",State of Decay
"Capel, Taren",1977,1977,4,Tom Baker,4,1,Kill humans,The Robots of Death
"Capricorn, Max",2007,2007,10,David Tennant,1,1,Bankrupt company,Voyage of the Damned
Captain (the),1978,1978,4,Tom Baker,4,1,Make money,The Pirate Planet
Carlo ,2010,2010,11,Matt Smith,1,1,Serve big bad,The Vampires of Venice
"Carrington, General",1970,1970,7,Jon Pertwee,7,1,War,The Ambassadors of Death
Carrionites,2007,2007,10,David Tennant,1,1,World domination,The Shakespeare Code
"Casp, Matron",2006,2007,10,David Tennant,2,2,Medical experiments,New Earth/Gridlock
"Cassandra, Lady (Cassandra O'Brien.Δ17)",2005,2006,"9,10","Christopher Eccleston, David Tennant",2,2,Make money,The End of the World/New Earth
"Catkind (Sisters of Plenitude), exc Novice Hame",2006,2006,10,David Tennant,1,1,Experiments on humans,New Earth
"Caven, Maurice",1969,1969,2,Patrick Troughton,6,1,Invade another alien planet,The Space Pitrates
Caw ,2007,2007,10,David Tennant,13,1,Gold,The Infinite Quest 
Celestial Toymaker,1966,1966,1,William Hartnell,4,1,Kill/ enslave humans,Celestial Toymaker
Cessair of Diplos (The Cailleach/Morgana Montcalm/Senora Camara/Vivien Fay),1978,1978,4,Tom Baker,4,1,Murder/theft,The Stones of Blood
Chameleons,1967,1967,2,Patrick Troughton,6,1,"New home world, absorbing human identities",The Faceless Ones
"Chang, Li H'sen",1977,1977,4,Tom Baker,6,1,Serve big bad,Talons of Weng Chiang
"Charles, Oliver",2005,2005,9,Christopher Eccleston,1,1,Kill politician,Aliens of London
"Chase, Harrison",1976,1976,4,Tom Baker,6,1,Kill humans,The Seeds of Doom
Cheetah people,1989,1989,7,Sylvester McCoy,3,1,Serve big bad,Survival
Chessene of the Franzine Grig,1985,1985,"2,6","Patrick Troughton, Peter Davison",3,1,Get a time machine,The Two Doctors
Chief Caretaker,1987,1987,7,Sylvester McCoy,4,1,Kill humans,Paradise Towers
Chief Clown,1988,1989,7,Sylvester McCoy,4,1,Serve big bad,The Greatest Show in the Galaxy
Chief Sea Devil,1972,1972,3,Jon Pertwee,6,1,Destroy the human race,The Sea Devils     
Chip,2006,2006,10,David Tennant,1,1,Serve big bad ,New Earth
Clockwork Repair Droids,2006,2006,10,David Tennant,1,1,"Take brain, repair ship",The Girl in the Fireplace
Clown robots,1989,1989,7,Sylvester McCoy,4,1,Serve big bad,The Greatest Show in the Galaxy
"Cobb, General",2008,2008,10,David Tennant,1,1,War,The Doctor's Daughter
"Cofelia, Matron (Miss Foster)",2008,2008,10,David Tennant,1,1,reproducing,Partners in Crime
Collector (the),1977,1977,4,Tom Baker,4,1,Human dictatorship/enslavement,The Sun Makers
Corvin,2006,2006,10,David Tennant,1,1,Medical experiments,New Earth
Crane (Mr),2006,2006,10,David Tennant,2,1,Serve big bad ,Raise of the Cybermen/The Age of Steel
"Cranleigh, George",1982,1982,5,Peter Davison,2,1,Kill humans,Black Orchid
Cult of Skaro (inc Dalek Sec and three others) ,2006,2007,10,David Tennant,4,2,Earth invasion/Human extermination/Human-Dalek hybrid,"Army of Ghosts/Doomsday, Daleks in Manhattan/Evolution of the Daleks"
Cyber-controller,1967,1985,"2,6","Patrick Troughton, Colin Baker",6,2,Earth invasion/Human extermination,"The Tomb of the Cybermen, Attack of the Cybermen"
Cyber-leader,1975,1988,"1,2,3,4,5,6,7","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester Mc Coy ",14,5,Serve big bad ,"Revenge of the Cybermen, Earthshock, The Five Doctors, Attack of the Cybermen, Silver Nemesis"
Cyberman Android,1982,1982,5,Peter Davison,4,1,Destroy the world,Earthshock
Cybermat,1967,2011,"2,4,11","Patrick Troughton, Tom Baker, Matt Smith",15,4,Serve big bad,"Tomb of the Cybermen, Wheel in space, Revenge of the Cybermen, Closing Time"
Cybermen,1966,2010,"1, 2, 3, 4, 5, 6, 7, 10, 11","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, David Tennant, Matt Smith",56,24,Earth invasion/Human extermination,"The Tenth Planet, The Moonbase, The Tomb of the Cybermen, The Wheel in Space, The Invasion, Revenge of the Cybermen, Earthshock, The Five Doctors, Attack of the Cybermen, Silver Nemesis, Rise of the Cybermen/The Age of Steel, Army of Ghosts/Doomsday, The Next Doctor, The Pandorica Opens, The War Games, The Mind of Evil, Carnival of Monsters, Logopolis, Mawdryn Undead, Dalek, Human Nature, A Good Man Goes to War, Closing Time"
Cybershades,2008,2008,10,David Tennant,1,1,Serve big bad, The Next Doctor
Dalek Duplicates,1984,1984,5,Peter Davison,2,1,Serve big bad,Ressurrection of the Daleks
Daleks,1963,2010,"1, 2, 3, 4, 5, 6, 7, 9, 10, 11","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, Christopher Eccleston, David Tennant, Matt Smith",104,34,Earth invasion/Human extermination,"The Daleks, The Dalek Invasion of Earth, The Chase, Mission to the Unknown, The Daleks' Master Plan, The Power of the Daleks, The Evil of the Daleks, Day of the Daleks, Planet of the Daleks, Death to the Daleks, Genesis of the Daleks, Destiny of the Daleks, Resurrection of the Daleks, Revelation of the Daleks, Remembrance of the Daleks, Dalek, Bad Wolf/The Parting of the Ways, Army of Ghosts/Doomsday, Daleks in, Manhattan/Evolution of the Daleks, The Stolen Earth, Journey's End, Victory of the Daleks, The Pandorica Opens, The Big Bang, The Space Museum, The Wheel in Space, The War Games, The Mind of Evil, Frontier in Space, The Five Doctors, Doctor Who, Human Nature, The Waters of Mars, The Beast Below, The Wedding of River Song, Asylum of the Daleks"
Dalek prime minister,2012,2012,11,Matt Smith,1,1,Protecting the Daleks,Asylum of the Daleks
"Dala, Dalek ""puppet""",2012,2012,11,Matt Smith,1,1,Serve big bad,Asylum of the Daleks
"Dalek Supreme (Supreme Dalek), inc Progenitor",1964,2010,"1, 2, 3, 4, 5, 6, 7, 10, 11","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, David Tennant, Matt Smith",63,14,Earth invasion/Human extermination,"Dalek Invasion of earth, The Daleks' Master Plan, The Chase, The Evil of the Daleks, Day of the Daleks, Frontier in Space, Planet of the Daleks, Destiny of the Daleks, Resurrection of the Daleks, Revelation of the Daleks, Remembrance of the Daleks, The Stolen Earth/Journey's End, Victory of the Daleks, The Pandorica Opens"
"Dastari, Joinson",1985,1985,"2,6","Patrick Troughton, Colin Baker",3,1,Medical experiments,The Two Doctors
Daughter of Mine,2007,2007,10,David Tennant,2,1,Infiltrate places,Human Nature/The Family of Blood
Davinadroid,2005,2005,9,Christopher Eccleston,1,1,Controll Humans,Bad Wolf   
Davros,1975,2008,"4, 5, 6, 7, 10","Tom Baker, Peter Davison, Colin Baker, Sylvester McCoy, David Tennant",22,6,Earth invasion/Human extermination,"Genesis of the Daleks, Destiny of the Daleks, Resurrection of the Daleks, Revelation of the Daleks, Remembrance of the Daleks, The Stolen Earth/Journey's End"
De Flores,1988,1988,7,Sylvester McCoy,3,1,"Human dictatorship, establish fourth reich",Silver Nemisis
De Flores,1988,1988,7,Sylvester McCoy,3,1,Fascist stooge,Silver Nemesis
Dent,1971,1971,3,Jon Pertwee,6,1,Make money,Colony in Space
Destroyer,1989,1989,7,Sylvester McCoy,4,1,Defeat the Doctor,Battlefield
Dexter,2007,2007,10,David Tennant,2,2,Locate the Doctor and his companions,"42, The Sound of Drums"
"Dextrus, Lucias Petrus",2008,2008,10,David Tennant,1,1,Dominate the world,The Fires of Pompeii
Diagoras (Mr),2007,2007,10,David Tennant,1,1,Run New York city,Daleks in Manhatten
Dibber,1986,1986,6,Colin Baker,4,1,Self-interest,The Mysterious Planet
Peg dolls,2011,2011,11,Matt Smith,1,1,Turn humans into dolls,Night terrors
Dominators,1968,1968,2,Patrick Troughton,5,1,Turn Planet into fuel,The Dominators
"Dracula, Robot Count",1965,1965,1,William Hartnell,6,1,Serve big bad,The Chase
Drahvin,1965,1965,1,William Hartnell,4,1,War,Galaxy 4
Drashigs,1973,1973,3,Jon Pertwee,4,1,Kill everything,Carnival of Monsters
Drathro (L3 robot),1986,1986,6,Colin Baker,4,1,Protect,The Mysterious Planet
Dream Lord,2010,2010,11,Matt Smith,1,1,Defeat the Doctor,Amy's Choice
"Droid, Anne ",2005,2005,"9,10","Christopher Eccleston, David Tennant",2,2,Kill humans,"Bad Wolf, The Parting of the Ways"
Dymond,1979,1979,4,Tom Baker,4,1,Crime,Nightmare of Eden
Eckersley,1974,1974,3,Jon Pertwee,6,1,World domination,The Monster of Peladon
Editor,2005,2005,9,Christopher Eccleston,1,1,Control Humans,The Long Game
Eight legs,1974,1974,3,Jon Pertwee,6,1,Serve big bad,Planet of the Spiders
Eknodine,2010,2010,11,Matt Smith,1,1,"Control humans, survival",Amy's Choice
Elders (the),1966,1966,1,William Hartnell,4,1,Self interest,The Savages
Eldrad,1976,1976,4,Tom Baker,4,1,Control of own alien species,The Hand of Fear
"Elizabeth Shaw, Section Leader (alt universe)",1970,1970,3,Jon Pertwee,7,1,Fascist stooge,Inferno
Empty Child,2005,2005,9,Christopher Eccleston,2,1,Kill humans,The Empty Child/The Doctor Dances
Ergon (the),1983,1983,5,Peter Davison,4,1,Serve big bad,Arc of Infinity
Eternals,1983,1983,5,Peter Davison,4,1,"Amusement, universal control",Enlightenment
Eyesen,1964,1964,1,William Hartnell,6,1,Self-interest,The Keys of Marinus
